File,Mean,Variance,Standard Deviation,Range
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_pop&dataType=double&evalMode=PARTIAL1&hasNulls=true&isRepeating=true&processMode=GLOBAL.json,8.595569932258679e-08,4.415504890269634e-18,2.100959329862705e-09,3.957536341466114e-08
openzipkin__zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#.json,6.862986773401417e-07,9.203755780042069e-14,3.033262552651067e-07,8.538960375537119e-06
zalando__logbook#org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3#.json,7.839178670048274e-08,6.292288147186652e-18,2.5080244246296646e-09,3.0538476268043296e-08
jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.neq4To4#.json,6.667979062609751e-07,5.256013218509735e-14,2.292216766161676e-07,8.900395473503223e-06
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000.json,5.641261491397496e-08,6.5314074281766574e-18,2.555235004724546e-09,2.6464210206641594e-08
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#.json,1.607351013917267e-05,7.936529225706063e-13,8.907232125829792e-07,2.652199812285457e-05
apache__camel#org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest#.json,0.01711245695515476,9.785018250633771e-05,0.00989027302022812,0.3286724022857143
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#.json,0.002090657546404219,9.682968199981384e-07,0.000983856395805104,0.03221787845614035
eclipse__jetty.project#org.eclipse.jetty.http.jmh.HttpMethodBenchmark.testMapGet#.json,1.5874543155681647e-07,1.416106736474818e-13,3.7624908703316597e-07,8.97109762235448e-06
JCTools__JCTools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet.json,6.552974672661261e-08,2.0776769038734235e-18,1.441174159153481e-09,2.148894388528373e-08
netty__netty#io.netty.microbench.buffer.ByteBufCopyBenchmark.setBytes#alignedCopyByteBuf=false&alignedCopyByteBuffer=true&directByteBuff=false&directByteBuffer=true&nativeOrderByteBuffer=false&pooledByteBuf=true&readonlyByteBuffer=true&size=36.json,6.110100921399433e-08,1.1018417672736569e-17,3.3188458093911518e-09,4.673117929631348e-08
jdbi__jdbi#org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive#.json,0.0004081179072286261,7.113584593011656e-09,8.432798258142906e-05,0.004092500829923434
zalando__logbook#org.zalando.logbook.LogbookBenchmark.json#.json,3.7015562451356456e-05,1.8008138381229778e-11,4.242890952988479e-06,6.0283743267729785e-05
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#.json,0.005283330691773349,3.1077890685024456e-07,0.0005573823699043183,0.009227286755555559
apache__camel#org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicate#.json,0.019673750692852373,6.695798598005526e-06,0.0025871919511949956,0.023325354666666673
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field#.json,1.8802208770617773e-07,9.032838204118899e-15,9.502537147567907e-08,1.9883183418219375e-06
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean.json,0.010238439408605764,1.4813888742570941e-05,0.0038482386729437,0.024625151999999994
RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterate#bufferSize=512&dirtiness=0.1&keys=8192&runniness=0.1.json,0.05299333113159653,6.949155171118371e-07,0.0008334767029741809,0.017137663999999997
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=2.json,1.4542146281077448e-07,6.119359382855151e-17,7.821326938982783e-09,5.38528215501896e-08
h2oai__h2o-3#water.jdbc.SQLManagerBench.writeItem_double#rows=100&useRef=true.json,1.3582975922862794e-05,2.634709101918674e-12,1.6229076084480743e-06,2.4437631677261787e-05
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=3.json,1.5780520148255455e-07,1.421440581012828e-17,3.769570025824852e-09,5.268201128723031e-08
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000.json,0.0001652912309189102,5.81170125744845e-10,2.41034440308102e-05,0.0002430117849846719
openzipkin__zipkin#zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese#.json,1.1358023224692085e-07,6.053595762067799e-18,2.4599946855624774e-09,1.857940243758499e-08
openzipkin__zipkin#zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder#.json,0.002533205721966497,9.532930471299051e-08,0.0003087028742947754,0.0077210185142857135
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderRewrite#.json,1.47299060019699e-07,1.27641158721853e-13,3.572093593459032e-07,1.9407162151648126e-05
