Project,Benchmark,Average Duration,Standard Deviation
prometheus,codahaleCounterDecBenchmark,4.523239104173242e-08,2.6309895670705173e-09
r2dbc,simpleR2dbc,5.517518082957474e-06,0.00011397209201466722
r2dbc,simpleJdbc,2.0146601666492275e-06,8.139467519237868e-07
r2dbc,simpleJdbc,1.801305301448535e-05,1.5783897334874295e-06
apache,mapjoin,0.0016721669748081063,4.790627492999412e-05
eclipse,testJavaStringReplaceReduce,2.915285925789004e-07,5.241434166238831e-07
ReactiveX,observablePlain,7.57395707797436e-08,1.1198779370858216e-07
apache,TraversalConstructionBenchmark,1.559960163933623e-06,7.444019312657259e-07
eclipse-vertx,smallStringDatabind,8.872049984151215e-06,1.7228609502764013e-06
prestodb,primitive,4.676676718916996e-07,1.2598612301445165e-08
RoaringBitmap,arrayVsArrayEquals,5.7495858036635646e-08,5.101096754436104e-09
crate,collectors,0.4621679460351528,0.020912771827257697
r2dbc,parametrizedR2dbc,0.00017317999052960298,0.002173029792677443
prometheus,prometheusSummaryBenchmark,9.44311964270251e-06,1.0653333918294446e-05
ReactiveX,flowableDedicated,1.0577757161346388e-05,8.430219131065621e-07
eclipse,map,0.37505719773866925,0.0248567662856776
RoaringBitmap,flipTimeAvg,5.3712940882854566e-08,5.878234428591065e-09
zalando,defaultResponse,1.1944020797754357e-05,1.8668545536961021e-06
imglib,gradient_better,0.03932774618454004,0.00041118961529386394
raphw,baseline,6.234730229833296e-08,9.708182258577649e-08
imglib,gradient_niceAndSlow,0.032416355487286275,0.0017230373761892538
apache,GraphBinaryReaderWriterBenchmark,1.0539110307180357e-06,5.246612194648334e-07
RoaringBitmap,iterate,0.02922928665031009,0.0011337527519110107
JCTools,burstCost,1.0245009814791811e-05,4.661909913874403e-06
raphw,benchmarkByteBuddyWithPrefix,0.0008798445700716703,0.0025706970329350304
apache,operators,6.3469585571527275e-06,1.05958359491995e-07
prometheus,prometheusSimpleSummaryChildBenchmark,5.545906976680332e-08,5.742818310981858e-09
hazelcast,ArrayMerkleTreeBenchmark,1.4117810292613933e-07,1.7176513824702583e-07
jdbi,H2SqlObjectV2Benchmark,8.348803294979309e-06,1.0751149587094042e-05
imglib,copy_pairedView,0.017052854421537745,0.0010086119328235467
h2oai,perRow,0.00010786328622861235,9.167371992148142e-06
prometheus,prometheusSimpleGaugeChildSetBenchmark,4.6110665390098884e-08,2.828590603656913e-09
apache,RecordBatchIterationBenchmark,8.84286262847938e-07,1.8422187523712858e-07
openzipkin,writeChineseSpan_THRIFT,2.652633803101146e-06,7.739099137567675e-07
netty,setBytes,6.760278336442194e-08,1.4933276823790824e-08
netty,Http2FrameWriterDataBenchmark,4.956436302851622e-07,2.9197930100979615e-07
apache,NormalizeUriTest,0.00021978613710390104,0.0116457751731843
apache,operators,8.916152601977702e-08,1.3182530347693097e-08
r2dbc,parametrizedR2dbc,9.618520415144635e-06,0.0003682230587113925
prometheus,prometheusSimpleCounterIncBenchmark,1.0224377190908028e-07,1.7812415428518735e-07
RoaringBitmap,iterate,0.16363704811523988,0.008145238380384478
zalando,autoconfigurationResponse,3.2657769275155576e-07,2.7935855687594397e-07
JCTools,poll,2.000694007351795e-09,2.808734860147615e-11
hazelcast,OAHashSetBenchmark,4.7449074454449936e-07,3.0750560992991955e-07
jgrapht,PivotBronKerboschRandomGraphBenchmark,12.171710544827738,2.381412954875653
jdbi,H2SqlObjectV3Benchmark,9.80747457779809e-06,9.35304306645761e-06
apache,jmh,1.6622675023689328e-06,3.015183509504915e-07
RoaringBitmap,Roaring64BitmapBenchmark,0.002912180677020974,0.000470914126826516
apache,GraphMutateBenchmark,7.980015123033571e-06,3.035343780187298e-06
RoaringBitmap,forwardsBuffer,1.4391900877515532e-05,2.403253421319336e-07
apache,jmh,9.263095265167916e-08,1.7263080469981855e-07
yellowstonegames,insertStringSquidMildOS3,0.002530261742838542,0.0002427660740944539
zalando,plain,3.12147679412866e-05,1.3019303768676622e-05
crate,CsvReaderBenchmark,0.0002782162358858466,0.011321881527748786
